Title;Description;Price;Capacity;Grape;Secondary Grape Varieties;Closure;Country;Characteristics;Type;ABV;Region;Style;Vintage
Beato Bartolomeo Pinot Grigio Superiore, Breganze DOC 2022;Pinot Grigio’s heartland is in Veneto, northeast Italy. It’s where you’ll find Breganze DOC, a tiny region in the Alpine foothills which is known for prioritising quality above all else. In fact, it’s so small that the region’s growers have formed a single cooperative – Beato Bartolomeo Breganze. If Pinot Grigio is a must for your wine rack, then this one is a first-rate choice. Fresh and light, with crisp citrus flavours and floral aromas, this is Pinot Grigio at its most refreshing. Fantastic as an apéritif, but also with green salads and light fish dishes.;£9.99 per bottle;75CL;Pinot Grigio;null;Screwcap;Italy;Lime, Floral, Lemon;White;ABV 12.50%;Veneto;Smooth & Light;2022
Nyetimber Brut Rosé, Sussex;Based in the picturesque Sussex countryside, Nyetimber are one of England's finest sparkling wine producers. Their head winemaker, Cherie Spriggs, was the first person outside of Champagne – and the first woman – to be awarded Sparkling Winemaker of the Year at the prestigious International Wine Challenge. And her skill shines in this crisp, dry rosé. Made using the time-honoured traditional method, it’s a blend of Chardonnay, Pinot Noir and Pinot Meunier from Nyetimber’s Sussex and Hampshire vineyards. Discover refreshing notes of redcurrant, raspberry and cherry, with touches of shortbread and toasted brioche. It’s creamy texture and vibrant flavours make it an excellent match for salmon or shellfish, or you can enjoy it as an elegant apéritif.;£49.99 per bottle;75CL;Chardonnay;Pinot Noir, Pinot Meunier;Natural Cork;England;Red Fruit, Pastry, Raspberry;Rosé;ABV 12.00%;Sussex;Crisp & Fruity;NV
Brancott Estate Sauvignon Blanc 2022, Marlborough;Until the 1970s, Marlborough was assumed too cold for winemaking. That's until the founders of the Brancott Estate made the region's first ever Sauvignon Blanc in 1979. The wine that started it all tastes fantastic today, some fifty vintages later. It's crisp and ripe, with flavours of citrus, pear, tropical fruit and pink grapefruit. It has a refreshing acidity that pairs very well with salmon.;£12.49 per bottle;75CL;Sauvignon Blanc;null;Screwcap;New Zealand;Grass, Green Apple, Green Bell Pepper, Lemon, Tropical Fruit;White;ABV 13.50%;Marlborough;Crisp & Zesty;2022
Cave de Lugny 'Les Chenaudières' Bourgogne Chardonnay 2022;This is a stylish, fresh wine from one of Burgundy's most reliable and reputable cooperatives. Cave de Lugny is situated in the heart of the Mâconnais, and is the biggest producer of the region. They consistently make wines to remind you that Burgundy isn’t all Grand Crus and expensive bottles, and this is no exception. Refined and classy, this has lively notes of citrus and apple with a long, refreshing finish. Try it with light fish dishes.;£14.99 per bottle;75CL;Chardonnay;null;Screwcap;France;Vanilla, Butter, Lemon, Peach;White;ABV 13.00%;Burgundy;Ripe & Rounded;2022
The Guv'nor Rosé, Spain;The Guv'nor red is one of our best-ever-selling wines. True to form, this pink sibling also breaks the region and rule-based restrictions to bring you plenty of flavour at great value. It's a blend of Garnacha, Bobal and Tempranillo grapes. Each of these varieties comes from a different area and has a unique identity. Bring them all together, and you get something truly remarkable.;£8.99 per bottle;75CL;Garnacha;Tempranillo, Bobal;Screwcap;Spain;Nectarine, Raspberry, Strawberry;Rosé;ABV 13.00%;null;Ripe & Fruity;NV
Chapel Down English Sparkling Rosé, Kent;This elegant sparkling wine from the excellent Chapel Down winery is made using the traditional method, from a blend of grapes that thrive in the cool climes of Kent. Slight hints of rose petals and a soft strawberry character, this crisp, medium bodied sparkling wine also has a citrus streak and fine, persistent bubbles. Smoked salmon is a fantastic match to this wine, along with crab salad.;£29.99 per bottle;75CL;Pinot Noir;Rivaner, Reichensteiner;Natural Cork;England;Strawberry, Raspberry, Red Fruit;Rosé;ABV 12.00%;Kent;Crisp & Fruity;NV
Heidsieck & Co. Monopole 'Bronze Top' Brut Champagne;Heidsieck & Co. Monopole is one of Champagne's oldest houses and has long been a favourite of the famous and royal. It was a particular favourite of the Russian Tsar Nicholas II, who used to have two whole trains filled with the Champagne delivered to him each year. The Bronze Top continues this heritage of excellence. Expect a fine stream of bubbles, with citrus and brioche flavours. Divine with oysters.;£29.99 per bottle;75CL;Pinot Noir;Chardonnay;Natural Cork;France;Pear, Bread, Citrus Fruit;White;ABV 12.50%;null;Crisp & Fruity;NV
Viñalba 'Reserve' Malbec 2020/21, Mendoza;When Hervé J Fabre came to the Uco Valley in the early nineties, Malbec was still a blending grape. But he found vineyards where the grape flourished and became the first person to make single-variety Malbecs in Argentina. This plush style is the benchmark for Mendoza Malbec. It's rich and chocolatey with plenty of ripe black fruits. Malbec is steak's best friend, so try it with a sirloin.;£12.99 per bottle;75CL;Malbec;null;Natural Cork;Argentina;Violet, Black Fruit, Red Fruit, Ripe Fruit, Vanilla;Red;ABV 14.50%;Mendoza;Soft & Fruity;2020/21
La Raia 'Il Borgo' Organic Gavi 2021;This organic wine is grown in a rural Italian paradise. Vines grow between orchards, elderflower and acacia trees, all teeming with wildlife. This beautiful landscape sets the scene for the Rossi Cairo family’s biodynamic winemaking, which brings purity to all of their wines. Their Gavi embodies this. A zingy blend of fruit and freshness with notes of peach, almond and blossom. Enjoy with fresh pesto pasta.;£14.99 per bottle;75CL;Cortese;null;Screwcap;Italy;Lime, Citrus Fruit, Floral, Green Apple, Lemon;White;ABV 13.00%;Piedmont;Aromatic & Floral;2021
La Marca Extra Dry Prosecco, Conegliano Valdobbiadene DOCG;This is Prosecco – but better. Conegliano Valdobbiadene DOCG is like Prosecco’s ‘Grand Cru’, and in these hills it’s impossible to cut corners. The vineyards are incredibly steep, so much so that everything has to be done by hand – often with the help of a harness. It’s truly extreme winemaking. But it’s worth it to make fizz this good. Fresh. Floral. Fruity. It has a soft, creamy mousse, with full flavours of ripe white peach, apple and citrus. It’s not bone dry so it’s a great choice as an aperitif.;£14.99 per bottle;75CL;Glera;null;Natural Cork;Italy;Pear, Citrus Fruit, Floral, Green Apple;White;ABV 11.00%;Prosecco Docg;Crisp & Fruity;2021
Les Vignobles Foncalieu 'Vallée des Pins' Rosé 2021/22, Coteaux d'Aix-en-Provence;After Provence rosé at a great price? Look to Coteaux d'Aix-en-Provence. The vineyards here see plenty of sun with almost every vintage. So the grapes behind this bottle are full of delicious juice. It's aged on its lees, so this brings a delicious texture to its notes of raspberry, strawberry and guava. Try it with mussels in cream sauce.;£11.99 per bottle;75CL;Grenache;Syrah, Cabernet Sauvignon, Cinsault;Screwcap;France;Strawberry, Peach, Raspberry;Rosé;ABV 12.50%;Provence;Delicate & Dry;2022
Château Recougne Bordeaux Supérieur 2019/20;Legend has it that during a stay at Château Recougne in the 16th century, Henri IV was so impressed by the quality of the wine he declared the château’s land ‘terra recognita’ – recognised land. The wax seal you see on the label was a symbol of the extremely coveted designation. The old Bordeaux variety Carménère is used in the blend – and the end result is fit for a king. Expect food-friendly notes of cherry, cedar wood and earthiness, with fine-grain tannins. Enjoy with roast lamb.;£12.99 per bottle;75CL;Merlot;Cabernet Sauvignon, Cabernet Franc, Carménère;Natural Cork;France;Smoke, Blackberry, Red Plum;Red;ABV 14.50%;Bordeaux;Savoury & Full Bodied;2020
Devil's Creek Sauvignon Blanc 2022, Marlborough;Once upon a time, Devil’s Creek was a mecca for prospectors. They flocked to the lush Marlborough valleys, panning for gold in the river. Today, it’s just liquid gold that’s left. Delicious, fruity, moreish gold – the Sauvignon Blanc which has made Marlborough world-famous. We’re lucky enough to have the UK exclusive on this – and all the wines from Devil’s Creek. With such excellent Sauvignon as this, we think it’s quite the coup. Gooseberry. Peach. Citrus. It’s classic Marlborough Sauvignon – a bold, tropical, intensely refreshing glassful. A wine this zingy wants nothing more complicated that a goat’s cheese salad. Try to say no to a second glass.;£9.99 per bottle;75CL;Sauvignon Blanc;null;Screwcap;New Zealand;Tropical Fruit, Grass, Green Apple, Lemon, Stone Fruit;White;ABV 13.00%;Marlborough;Crisp & Zesty;2022
Two Hands 'Tenacity' Old Vine Shiraz 2021/22, Australia;Two Hands founders Michael Twelftree and Richard Mintz had an ambition to make the best possible Shiraz-based wines from Australia's finest regions. They ensure this by only buying grapes from specialist growers. This way, they source the cream of the crop every harvest – and it’s paid off. Australia has some of the oldest vines in the world. Tenacity shows how the lower yields from old vines intensify all the flavours. If you like a full-throttle Australian Shiraz, you're in for a treat. This is full of ripe black-fruit flavours. Discover a juicy, velvety texture, with notes of chocolate and spice. Its intensity and richness mean it’ll complement hearty dishes like a beef stew.;£14.99 per bottle;75CL;Shiraz;null;Natural Cork;Australia;Vanilla, Black Pepper, Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Jammy, Spice;Red;ABV 14.20%;South Australia;Bold & Spicy;2022
Olivier Dubois 'Cuvée Prestige' Pinot Noir 2021/22, France;We challenged our buyers to find French Pinot Noir which offers unbeatable value. They looked to the Loire. For Pinot lovers, this region is a real insider secret. It’s best known for its whites, but it’s also a great source of underrated Pinot Noir. Here, the Pinots tend to boast vibrant fruit flavours. And we’re lucky enough to have the UK exclusive on this one. It’s seriously juicy and fruity – think redcurrant and cherry with a sweetly spiced edge. An ideal partner for salads and charcuterie, it will also benefit from being lightly chilled.;£9.99 per bottle;75CL;Pinot Noir;null;Screwcap;France;Strawberry, Cranberry, Red Cherry;Red;ABV 12.50%;Other France;Light & Elegant;2022
Saint Clair 'Pioneer Block' Sauvignon Blanc 2020/21, Wairau Valley;Saint Clair are one of the most awarded producers in Marlborough. They’ve been growing grapes there since the 1970s, so they really know the region inside out. They decided to put this knowledge to good use, creating single vineyard ‘block’ wines which are expressive of their particular patch. This Sauvignon is one of them. Because it’s so selective, they only make it in the very best vintages. It’s worth the wait. It really bursts with that classic Marlborough fruit – think passionfruit, gooseberry and freshly cut grass. Bright. Fruity. Intensely refreshing. Perfect with Thai food.;£19.99 per bottle;75CL;Sauvignon Blanc;null;Screwcap;New Zealand;Tropical Fruit, Grass, Green Apple, Lemon, Stone Fruit;White;ABV 13.00%;Marlborough;Crisp & Zesty;2021
Domaine de la Tourmaline ‘Sur Lie’ Muscadet de Sèvre et Maine 2021/22;The Gadais family has been producing high quality Muscadet for five generations. With their entire estate dedicated to Melon de Bourgogne – the appellation’s star grape variety – they’re true specialists. So it’s no surprise that their wines have gained international recognition. This expression is made with 30-year-old vines, and it’s spent time on texture-building lees – indicated by the phrase ‘sur lie’ on the label. It’s the perfect way to discover this classic Loire style. Expect fresh apple, pear and citrus flavours, plus a subtle savoury character. With its rich texture, mineral finish and slight spritz, it’s exceptionally food-friendly – try yours with seafood and shellfish.;£10.99 per bottle;75CL;Melon De Bourgogne;null;Screwcap;France;Pear, Bread, Green Apple, Lemon, Lime;White;ABV 12.00%;Loire;Ripe & Rounded;2022
Domaine des Patureaux Organic Pouilly-Fumé 2021/22;"Looking for the ultimate refreshing Sauvignon Blanc? Domaine Patureaux is all about tradition. This family-owned estate is run by a father-and-son team, who strive to craft classic Loire whites that offer a true expression of their land. Decanter's Amy Wislocki awarded this Pouilly-Fumé 91 points, describing it as a bottle ""worth seeking out"". And we couldn't agree more. Fresh. Rich. Crisp. Discover vibrant flavours of citrus, pear, and stone fruits, with hints of minerality and smokiness on the long finish. Its zingy acidity makes it a wonderful match for fish and shellfish.";£18.99 per bottle;75CL;Sauvignon Blanc;null;Natural Cork;France;Smoke, Citrus Fruit, Grass, Green Apple;White;ABV 13.50%;Loire;Fresh & Elegant;2022
Definition Chablis 2022;The Definition range brings the world's greatest wine styles to Majestic customers. For the Definition Chablis, the brief was to find a classically lively, citrusy, slightly savoury wine. Our buyers found the perfect example. Find crisp citrus fruits, a hint of white flowers and a touch of oatmeal. It’ll go perfectly with smoked salmon and a squeeze of lemon. In 2022, this wine won an IWC award for the 2020 vintage.;£17.99 per bottle;75CL;Chardonnay;null;Screwcap;France;Wet Stones, Green Apple, Lemon;White;ABV 12.50%;Burgundy;Fresh & Elegant;2022
Domaine Jean-Max Roger ‘Cuvée Genese’ Sancerre 2021/22;Jean-Max Roger began with just four hectares of vines. In the 50 years since, he's consistently produced sensational Sauvignon Blanc, and his winery is now one of Sancerre's finest. Today, he and his two sons pick each grape by hand on sustainably-run vineyards. This wine is then only released when the Rogers deem it ready. And the attention to detail shines in every sip. This is a remarkably fresh and complex Sancerre. Pair its notes of citrus and white flowers and long, flavoursome finish with white fish.;£23.99 per bottle;75CL;Sauvignon Blanc;null;Natural Cork;France;Green Apple, Citrus Fruit, Grass;White;ABV 13.50%;Loire;Fresh & Elegant;2022
Nicolas Feuillatte 2012/15 Champagne;Nicolas Feuillatte was a man about town. He made a fortune in instant coffee and was a fixture of the New York jet set – with celebrity connections which made his Champagne instantly stylish. Today, it’s far and away the most popular Champagne label in France – and the third-most popular globally. And this luxurious vintage fizz is a stellar example of the house’s elegance and finesse. It’s incredibly rich and decadent, with flavours of ripe apricot, peach, raspberry and brioche.;£34.99 per bottle;75CL;Chardonnay;Pinot Noir;Natural Cork;France;Pear, Biscuit, Green Apple, Pastry;White;ABV 12.00%;null;Rich & Toasty;2015
Chosen by Majestic Prosecco DOC;We sent our award-winning buying team all around the world on an exciting new mission: to curate a new collection showcasing the best examples of key regions and core grape varietals – at great prices. It’s no secret that Prosecco is extremely popular in the UK. So when we set off to find one that delivered incredible flavour at incredible value for money, we had to go to the experts. This Prosecco hails from a family winery with the youngest owners in the esteemed area of Conegliano Valdobbiadene Prosecco Superiore. It’s where some of the best Prosecco is made – and this is no different. Designed to be fresh, fruity and extremely easy drinking, it’s fully vegan and the ideal bottle to open at parties. Light and elegant, this has fresh notes of apple and pear that make it great as an apéritif or with light fish dishes.;£9.99 per bottle;750ML;Glera;null;Natural Cork;Italy;Floral, Peach, Pear;White;ABV 11.00%;Prosecco Doc;Crisp & Fruity;NV
Pommery 'Brut Royal' Champagne;Years ago, Madame Pommery decided that Champagne needed to change. Back then, it was a dessert wine enjoyed after a meal. But she sought to create something that tasted great both with food and on its own. The result was the Brut style we know and love today. And you can expect over 170 years of expertise in this bottle. This is a bright, lively style of Champagne with notes of honey, almond, brioche and citrus.;£43.99 per bottle;75CL;Chardonnay;Pinot Noir, Pinot Meunier;Natural Cork;France;Honey, Almond, Citrus Fruit, Floral, Green Apple;White;ABV 12.50%;null;Crisp & Fruity;NV
Rocklin Ranch Cabernet Sauvignon 2020/21, Monterey;Rocklin Ranch sits in the volcanic foothills of Monterey and is powered by a single wind turbine. They're just as dedicated to fantastic wine as they are the environment. And it really shows in this bold, structured Cabernet Sauvignon. It has notes of ripe plum, blackberry, blueberry, baking spices and toasty vanilla. Try it with a beef burger.;£18.99 per bottle;75CL;Cabernet Sauvignon;null;Natural Cork;USA;Vanilla, Black Fruit, Black Plum, Blackberry, Blueberry;Red;ABV 14.50%;California;Smooth & Mellow;2021
Rocklin Ranch Chardonnay 2020/21, Monterey;Rocklin Ranch has sustainability at its heart. Situated in the volcanic foothills of Monterey, their winery is powered by a single wind turbine. They take their name from the ancient river rocks deposited around their vineyards. Monterey’s reputation for distinctive white wines is certainly reflected in this first-class bottle. Classic Chardonnay lovers, this one’s for you. Bright and elegant, this has notes of red apple, pear and lemon. Pair with a grilled chicken Caesar salad.;£18.99 per bottle;75CL;Chardonnay;null;Natural Cork;USA;Vanilla, Butter, Green Apple, Lemon, Peach, Tropical Fruit;White;ABV 13.50%;California;Rich & Toasty;2021
Rocklin Ranch Pinot Noir 2020/21, Monterey;This Pinot Noir was crafted at the foot of Monterey’s volcanic mountain range. Here, the Scheid family’s winery is powered with a single wind turbine. They pay strict attention to detail, as only 2% of grapes picked are judged as good enough to make this Pinot Noir. So you're in for something great. This bright wine has notes of raspberry, strawberry and cherry tart with a hint of toasted oak and silky tannins. Serve with roasted pork loin.;£18.99 per bottle;75CL;Pinot Noir;null;Natural Cork;USA;Vanilla, Cloves, Raspberry, Red Cherry, Red Fruit, Spice;Red;ABV 13.50%;California;Light & Elegant;2021
Mayu Carménère Appassimento 2019/20, Chile;Elqui Valley is Chile’s most extreme wine region – nearly 5000 feet above sea level, it has 300 days of summer and such clear skies that it's famous for observatories. It’s a tough place to make wine – so it’s no surprise that there are only a few commercial wineries here. Winemaker Giorgio Flessati’s Italian roots have heavily influenced the way they make wine. In fact, this is the first appassimento Carménère in the world, made by leaving the grapes to dry until the flavours are much more pronounced. Black pepper. Plum. Fig. It’s incredibly rich, with plenty of black-fruit flavours and subtle sweetness from the dried grapes. Great with tagine.;£12.99 per bottle;75CL;Carménère;null;Natural Cork;Chile;Vanilla, Black Plum, Blackberry, Green Bell Pepper, Spice, Sweet Spice;Red;ABV 14.50%;North;Rich & Juicy;2020
Definition Zinfandel 2019/20, Lodi;The Definition range brings the world's greatest wine styles to Majestic customers. The Zinfandel grape, a close relative of Primitivo, is big, bold and full of black-fruit flavour. It thrives in California’s hot, dry summers. So to create this, we went to Lodi in the Central Coast region, where Prohibition-surviving vines produce sun-soaked full-bodied reds. It’s classic Zinfandel, made by our buyers with a producer named ‘USA Producer of the Year’ five times. It’s rich and silky, with flavours of blackberry, plum and sweet spice. Try it with a hearty beef stew. In 2022, this wine won an IWC award for the 2019 vintage.;£10.99 per bottle;75CL;Zinfandel;null;Screwcap;USA;Spice, Black Cherry, Blueberry, Raspberry;Red;ABV 14.50%;California;Rich & Juicy;2020
Langlois-Chateau 'Classique' Crémant de Loire Brut;Crémant de Loire is made using the same traditional method as the finest French sparkling and comes with its own prestigious history. Langlois-Chateau is the perfect example: they have been producing high quality fizz for more than 130 years and what’s more, they have been owned by the Bollinger family since the 1970s – a sure sign of excellence. This Classique Brut is dominated by Chenin Blanc, the region’s favourite white grape. It’s aged for a minimum of 24 months, creating delicious, complex flavour. It’s rich yet refined with aromas of quince, peach and grapefruit, which lead to a long, fresh finish.;£19.99 per bottle;75CL;Chenin Blanc;Cabernet Franc, Chardonnay;Natural Cork;France;Citrus Fruit, Pastry, Pear;White;ABV 12.50%;Loire;Crisp & Fruity;NV
Jim Barry 'The Lodge Hill' Shiraz 2020/21, Clare Valley;Clare Valley has a relatively cool climate. It results in reds that are more elegant and fresh than those in many other Australian regions. And this Shiraz epitomises that style. It's made by the famous Jim Barry winery. So you can be sure of its excellence. Expect notes of blackcurrant, boysenberry, violets and a hint of fresh menthol. Delicious with meaty seared tuna.;£15.99 per bottle;75CL;Shiraz;null;Screwcap;Australia;Vanilla, Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Cloves, Sweet Spice, Tobacco;Red;ABV 14.00%;South Australia;Bold & Spicy;2021
Rustenberg 'RM Nicholson' 2020/21, Stellenbosch;Rustenberg’s Murray Barlow is the only person to be named Young Winemaker of the Year twice by Diners Club. And he’s a specialist in creating exceptional reds under the Stellenbosch sun. This is a blend of Shiraz, Merlot and Cabernet Sauvignon. An unconventional mixture of traditional Bordeaux and Rhône varieties that creates something truly fantastic. It has flavours of blackcurrant, black pepper and spice that are a treat with a chargrilled steak.;£14.99 per bottle;75CL;Syrah;Merlot, Cabernet Sauvignon;Screwcap;South Africa;Vanilla, Black Pepper, Blackberry, Blackcurrant, Cedar, Leather, Spice;Red;ABV 14.00%;Stellenbosch;Savoury & Full Bodied;2021
Klein Constantia Sauvignon Blanc 2020/21, Constantia;Klein Constantia dates back to 1685. The winery without a doubt produces some of South Africa's finest wines. It has a rich history and was even referenced in novels by Charles Dickens and Jane Austen. In the cool-climate foothills of the Constantiaberg mountain, Sauvignon Blanc grapes thrive. You can really taste the benefits in this complex, textured wine. Expect notes of citrus and stone fruits that are best with grilled seafood. In 2022, this wine won an IWC award for the 2020 vintage.;£15.99 per bottle;75CL;Sauvignon Blanc;null;Screwcap;South Africa;Grass, Citrus Fruit, Floral;White;ABV 13.50%;Constantia;Fresh & Elegant;2021
Vasse Felix 'Filius' Chardonnay 2021/22, Margaret River;Virginia Willcock’s interest in winemaking began in Perth, where as a teenager she assisted her father on a small vineyard. Her experience led her to the Margaret River, and today she is one of Australia’s most-awarded winemakers. Margaret River’s rich sunshine enriches the Chardonnay grapes with intense flavour. Cool nights chase sun-filled days that encourage a neat stroke of acidity that perfectly rounds each sip. Expect notes of lemon and tropical fruit, with a touch of ginger and a fresh hint of minerality on the finish. Its rounded texture and touch of acidity make it a fantastic match for seared scallops.;£14.99 per bottle;75CL;Chardonnay;null;Screwcap;Australia;Vanilla, Butter, Green Apple, Lemon, Peach, Smoke;White;ABV 13.00%;Western Australia;Rich & Toasty;2022
Château Fontesteau 2014, Haut-Médoc;If you’re after great quality claret at excellent value, look for Cru Bourgeois on the label. Château Fontesteau have held this prestigious classification since 1874, so they’re certainly a name you can trust. This mature blend of classic Bordeaux grapes spends 12 months in oak barrels, making it supple, full-bodied and elegant – qualities that have earned the 2014 vintage an impressive 92-point score from Decanter. Discover rich blackcurrant, plum and cassis flavours with subtle notes of spice, toasty oak and tobacco. Its savoury character and smooth tannins make it an excellent match with red meats and game.;£16.99 per bottle;75CL;Cabernet Sauvignon;Merlot;Natural Cork;France;Blackcurrant, Mint, Savoury;Red;ABV 13.00%;Bordeaux;Savoury & Full Bodied;2014
Rustenberg Sauvignon Blanc 2021/22, Stellenbosch;Murray Barlow's wines are some of Stellenbosch’s finest. He's rightfully won not just a cult following, but heaps of critical praise. In fact, he is the only winemaker to win Young Winemaker of the Year twice at South Africa’s biggest wine-awards event, Diners Club. He's excelled yet again with this Stellenbosch Sauvignon. The 2022 vintage was awarded 92 points by James Suckling and won a Gold Medal at Concours Mondial du Sauvignon awards. It's fresh and crisp, with notes of melon, gooseberry, pineapple and passionfruit. Try it with Thai food.;£14.99 per bottle;75CL;Sauvignon Blanc;null;Screwcap;South Africa;Grass, Citrus Fruit, Floral;White;ABV 13.50%;Stellenbosch;Fresh & Elegant;2022
Devaux Blanc de Noirs Champagne;Devaux have pleased Majestic customers with their pink and ‘Augusta’ Champagnes for years. Their winemaker, Michel Parisot, won Sparkling Winemaker of the Year at the International Wine Challenge 2020. So we jumped at the chance to get this Special Buy for you. Blanc de Noirs Champagnes must be made from black grapes. This is made only from the demanding Pinot Noir. It's still very much a white Champagne, but it's remarkably rich and powerful. This is full of character and finesse. Expect notes of warm brioche and honey, aromas of red fruits and a fresh finish. Try this with chicken in a truffle sauce.;£29.99 per bottle;75CL;Pinot Noir;null;Natural Cork;France;Red Fruit, Raspberry, Red Cherry;White;ABV 12.00%;null;Crisp & Fruity;NV
Gabriel Allard Côtes du Rhône Blanc 2022;Les Grandes Serres winery specialises in wines from the picturesque Southern Rhône Valley. With a new and enthusiastic team, modern cellars and careful maturation practises, Les Grandes Serres make internationally renowned wines that showcase the best of the region. White Rhône accounts for less than 10% of the region’s production – but this wine isn’t to be overlooked. Their bold flavours and rich texture makes them extremely food-friendly – and they have often have the capacity to age for some time in bottle. With floral aromas and flavours of lime and stone fruit, this is a must-try wine. Its texture makes it a dream with creamy fish dishes.;£9.99 per bottle;75CL;Marsanne;Clairette, Grenache Blanc, Roussanne, Viognier;Natural Cork;France;Citrus Fruit, Floral, Stone Fruit;White;ABV 13.00%;Rhône;Ripe & Rounded;2022
Peter Lehmann 'The Barossan' Shiraz 2019/20, Barossa;With rolling hills, hot, dry summers and some of the world's oldest vines, Barossa is arguably the finest spot in the New World for full-bodied, juicy reds. And if you're looking for a wine that embodies all of this, you'd struggle to find better than this. Peter Lehmann Wines, one of the biggest names in Australian winemaking, spanned the length and breadth of this region to capture all of its best elements in this bottle. It's rich and bold with intense dark raspberry, plum, mocha and liquorice. Drink this alongside a beef stroganoff. In 2022, this wine won an IWC award for the 2019 vintage.;£18.99 per bottle;75CL;Shiraz;null;Screwcap;Australia;Smoke, Black Pepper, Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Coffee, Leather;Red;ABV 14.50%;South Australia;Bold & Spicy;2020
Marqués de Cáceres Rioja Gran Reserva 2014/15;Family-run Marqués de Cáceres was established in the 1970s by Enrique Forner. Situated in the subregion of La Rioja Alta, its reputation for high quality wines now extends across more than 120 countries. Since the 2008 vintage, this Gran Reserva has received only 90+ scores from the world’s best critics. To make it, grapes are hand-harvested from vineyards 650 metres above sea level. The high altitude keeps freshness in the fruit – a very important element of the process, given that a Gran Reserva must be aged for a minimum of five years before release. Discover ripe and elegant notes of plum, strawberry, vanilla, toast and coffee. Pair its plush character with roast lamb and all the trimmings. In 2022, James Suckling awarded the 2015 vintage 94 points.;£22.99 per bottle;75CL;Tempranillo;Grenache, Graciano;Natural Cork;Spain;Vanilla, Black Fruit, Red Fruit, Spice;Red;ABV 14.50%;Rioja And Navarra;Savoury & Full Bodied;2015
Chosen by Majestic Grüner Veltliner Kremstal DAC 2022;We sent our award-winning buying team all around the world on an exciting new mission: to curate a new collection showcasing the best examples of key regions and core grape varietals – at great prices. Winzer Krems is one of the most important producers in Austria – and Majestic has a long working history with them. So it’s safe to say we were thrilled to work together to create a new wine for the Chosen by Majestic collection. Winzer Krems is owned by 730 winegrowers who all bring their knowledge and expertise to create benchmark wines that really showcase the best of the region. This is a classic example of Kremstal Grüner Veltliner – a wine that’s getting more and more popular in the UK. It’s remarkably crisp and fruity with a characteristic peppery finish. Enjoy it with veal, fish dishes or classic Wiener Schnitzel for an authentic pairing.;£11.29 per bottle;75CL;Gruner Veltliner;null;Screwcap;Austria;Lemon, Peach, Quince, Red Apple, White Pepper;White;ABV 12.50%;Austria;Fresh & Elegant;2022
Chosen by Majestic Valpolicella Superiore DOC 2020/21;We sent our award-winning buying team all around the world on an exciting new mission: to curate a new collection showcasing the best examples of key regions and core grape varietals – at great prices. Valpolicella is loved by Majestic customers – so we went to one of the oldest cooperatives in Verona to make this benchmark wine. Located in the hills north of the city, their vines have an average age of 30-35 years old – resulting in lower yields but more concentrated flavours. A classic blend of Corvina, Corvinone, Rondinella and Molinara, this is aged for an extra year before release, adding complexity and delicious vanilla spice. It’s typically soft and smooth, with ripe notes of wild cherries. A fantastic pairing for grilled lamb chops, goulash and medium-aged cheese.;£11.99 per bottle;75CL;Corvina;Corvinone, Molinara, Rondinella;Screwcap;Italy;Black Fruit, Red Cherry, Spice, Vanilla;Red;ABV 13.00%;Veneto;Bold & Spicy;2021
Maison Chanzy 'En Rosey' Rully Rouge 2019/20;Maison Chanzy are renowned for crafting authentic Burgundy wines that capture the unique qualities of the region’s different terroirs. Each of their vineyard plots is harvested, vinified and aged separately to preserve their individual character. And all that attention to detail results in exceptional wines. This is a case in point. It hails from Rully, a village in the northern part of the Côte Chalonnaise – just south of the premium Côte de Beaune region. Made exclusively from Pinot Noir, it’s a fruit-forward, structured red that punches way above its price tag. Expect bright flavours of redcurrant, cherry and blackcurrant with touches of liquorice and spice. Its firm tannins and balancing acidity make it an excellent match for poultry.;£24.99 per bottle;75CL;Pinot Noir;null;Natural Cork;France;Strawberry, Cranberry, Red Cherry;Red;ABV 14.00%;Burgundy;Light & Elegant;2020
Triplica Greco di Tufo DOCG 2021/22;Grego di Tufo is one of Southern Italy’s most coveted white wine regions. Its rich, volcanic soils, high-altitude vines and distinct temperature variations encourage a mineral, elegant style of wine. This bottle has been crafted by one of Italy's most dynamic and talented winemakers, Alessandro Michelon. So you can expect excellence. It’s perfumed, tropical and refreshing – expect hints of mango, pear and fresh herbs. Delicious with fresh mozzarella.;£12.99 per bottle;75CL;Greco;null;Natural Cork;Italy;Stone Fruit, Citrus Fruit, Floral;White;ABV 13.00%;Campania;Crisp & Zesty;2021
